location,crop.x,bag_no,block.x,sample_time,series_no,tea_id,old_tea_id,tea_final_drywt_g,crop.y,block.y,number,tea_initial_drywt_g,notes
isu,pcro,354,4,t2,4,254,254,1.946,NA,NA,NA,2.1,NA
isu,pcro,355,4,t4,5,523,260,1.933,NA,NA,NA,NA,NA
isu,pcro,356,4,t3,6,505,152,1.47,NA,NA,NA,NA,NA
isu,pcro,357,4,t5,7,NA,255,1.608,NA,NA,NA,NA,NA
isu,pcro,358,4,t6,8,255,256,1.432,NA,NA,NA,2,NA
isu,pcro,359,4,t0,9,259,259,2.211,NA,NA,NA,2.1,NA
isu,pcro,360,4,t8,10,NA,252,1.354,NA,NA,NA,NA,NA
isu,cr,361,4,t6,1,512,262,1.213,NA,NA,NA,NA,NA
isu,cr,362,4,t1,2,270,270,2.064,NA,NA,NA,2.1,NA
isu,cr,363,4,t8,3,515,262,1.128,NA,NA,NA,NA,NA
isu,cr,364,4,t4,4,264,263,1.366,NA,NA,NA,2,NA
isu,cr,365,4,t0,5,513,265,2.003,NA,NA,NA,NA,NA
isu,cr,366,4,t3,6,268,268,1.748,NA,NA,NA,2.4,NA
isu,cr,367,4,t2,7,364,364,1.907,NA,NA,NA,2,NA
isu,cr,368,4,t9,8,514,302,1.238,NA,NA,NA,NA,NA
isu,cr,369,4,t7,9,269,269,1.109,NA,NA,NA,2.2,NA
isu,cr,370,4,t5,10,361,261,1.356,NA,NA,NA,2.1,NA
isu,wpc,371,4,t1,1,280,280,2.109,NA,NA,NA,2.1,NA
isu,wpc,372,4,t6,2,277,277,1.769,NA,NA,NA,2.5,NA
isu,wpc,373,4,t5,3,322,276,1.479,NA,NA,NA,2.1,NA
isu,wpc,374,4,t2,4,274,274,1.952,NA,NA,NA,2.1,NA
isu,wpc,375,4,t4,5,272,272,1.514,NA,NA,NA,2,NA
isu,wpc,376,4,t0,6,278,278,2.164,NA,NA,NA,2.3,NA
isu,wpc,377,4,t9,7,273,273,1.571,NA,NA,NA,2.2,NA
isu,wpc,378,4,t8,8,281,271,1.405,NA,NA,NA,2.2,NA
isu,wpc,379,4,t3,9,275,275,1.723,NA,NA,NA,2.3,NA
isu,wpc,380,4,t7,10,501,287,1.373,NA,NA,NA,NA,NA
isu,gpc,381,4,t8,1,381,281,1.282,NA,NA,NA,2,NA
isu,gpc,382,4,t9,2,285,285,1.582,NA,NA,NA,2.1,NA
isu,gpc,383,4,t1,3,286,286,2.223,NA,NA,NA,2.2,NA
isu,gpc,384,4,t5,4,NA,284,1.641,NA,NA,NA,NA,NA
isu,gpc,385,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
isu,gpc,386,4,t6,6,282,282,1.535,NA,NA,NA,2.3,NA
isu,gpc,387,4,t7,7,287,287,1.718,NA,NA,NA,2.1,NA
isu,gpc,388,4,t2,8,NA,286,1.823,NA,NA,NA,NA,NA
isu,gpc,389,4,t4,9,NA,283,1.479,NA,NA,NA,NA,NA
isu,gpc,390,4,t0,10,290,290,2.17,NA,NA,NA,2.1,NA
isu,ar,391,4,t0,1,294,294,2.099,NA,NA,NA,2.4,NA
isu,ar,392,4,t7,2,299,299,1.181,NA,NA,NA,2.2,NA
isu,ar,393,4,t2,3,297,217,1.802,NA,NA,NA,2.1,NA
isu,ar,394,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
isu,ar,395,4,t9,5,295,295,1.318,NA,NA,NA,2.3,NA
isu,ar,396,4,t4,6,522,271,1.663,NA,NA,NA,NA,NA
isu,ar,397,4,t3,7,516,293,1.75,NA,NA,NA,NA,NA
isu,ar,398,4,t6,8,292,292,1.291,NA,NA,NA,2.1,NA
isu,ar,399,4,t5,9,298,298,1.416,NA,NA,NA,2,NA
isu,ar,400,4,t8,10,517,300,1.664,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,14,NA,NA,ar,1,4,2.1,NA
NA,NA,NA,NA,NA,NA,15,NA,NA,ar,1,5,2.2,NA
NA,NA,NA,NA,NA,NA,18,NA,NA,ar,1,8,2.1,NA
NA,NA,NA,NA,NA,NA,20,NA,NA,ar,1,10,2.1,NA
NA,NA,NA,NA,NA,NA,26,NA,NA,wpc,1,6,2.3,NA
NA,NA,NA,NA,NA,NA,27,NA,NA,wpc,1,7,2.2,NA
NA,NA,NA,NA,NA,NA,44,NA,NA,gpc,1,4,2,NA
NA,NA,NA,NA,NA,NA,56,NA,NA,gpc,2,6,2.1,NA
NA,NA,NA,NA,NA,NA,65,NA,NA,cr,2,5,2,NA
NA,NA,NA,NA,NA,NA,82,NA,NA,wpc,2,2,2.3,NA
NA,NA,NA,NA,NA,NA,89,NA,NA,wpc,2,9,2.1,NA
NA,NA,NA,NA,NA,NA,90,NA,NA,wpc,2,10,2,NA
NA,NA,NA,NA,NA,NA,110,NA,NA,gpc,3,10,2.1,NA
NA,NA,NA,NA,NA,NA,121,NA,NA,pcro,3,1,2.2,NA
NA,NA,NA,NA,NA,NA,132,NA,NA,ar,3,2,2.1,NA
NA,NA,NA,NA,NA,NA,154,NA,NA,wpc,4,4,2.2,NA
NA,NA,NA,NA,NA,NA,155,NA,NA,wpc,4,5,2.2,NA
NA,NA,NA,NA,NA,NA,162,NA,NA,ar,4,2,2.2,NA
NA,NA,NA,NA,NA,NA,170,NA,NA,ar,4,10,2.1,NA
NA,NA,NA,NA,NA,NA,175,NA,NA,pcro,4,5,2,NA
NA,NA,NA,NA,NA,NA,176,NA,NA,pcro,4,6,2,NA
NA,NA,NA,NA,NA,NA,177,NA,NA,pcro,4,7,2.2,NA
NA,NA,NA,NA,NA,NA,179,NA,NA,pcro,4,9,NA,forgot to measure probably 2
NA,NA,NA,NA,NA,NA,185,NA,NA,cr,4,5,2.1,NA
NA,NA,NA,NA,NA,NA,186,NA,NA,cr,4,6,2,NA
NA,NA,NA,NA,NA,NA,188,NA,NA,cr,4,8,2.1,NA
NA,NA,NA,NA,NA,NA,191,NA,NA,gpc,4,1,2,NA
NA,NA,NA,NA,NA,NA,192,NA,NA,gpc,4,2,2.2,NA
NA,NA,NA,NA,NA,NA,195,NA,NA,gpc,4,5,2.1,NA
NA,NA,NA,NA,NA,NA,205,NA,NA,NA,NA,5,2.1,NA
NA,NA,NA,NA,NA,NA,206,NA,NA,NA,NA,6,2.1,NA
NA,NA,NA,NA,NA,NA,209,NA,NA,NA,NA,9,2.1,NA
NA,NA,NA,NA,NA,NA,211,NA,NA,NA,NA,1,2.1,NA
NA,NA,NA,NA,NA,NA,218,NA,NA,NA,NA,8,2.1,NA
NA,NA,NA,NA,NA,NA,220,NA,NA,NA,NA,10,2.1,NA
NA,NA,NA,NA,NA,NA,227,NA,NA,NA,NA,7,2.1,NA
NA,NA,NA,NA,NA,NA,237,NA,NA,NA,NA,7,2.2,NA
NA,NA,NA,NA,NA,NA,241,NA,NA,NA,NA,NA,2.2,NA
NA,NA,NA,NA,NA,NA,244,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,256,NA,NA,NA,NA,NA,2.3,NA
NA,NA,NA,NA,NA,NA,258,NA,NA,NA,NA,NA,2.2,NA
NA,NA,NA,NA,NA,NA,260,NA,NA,NA,NA,NA,2.3,NA
NA,NA,NA,NA,NA,NA,263,NA,NA,NA,NA,NA,2.2,NA
NA,NA,NA,NA,NA,NA,266,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,276,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,288,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,293,NA,NA,NA,NA,NA,2.1,2.048
NA,NA,NA,NA,NA,NA,304,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,307,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,308,NA,NA,NA,NA,NA,2.2,NA
NA,NA,NA,NA,NA,NA,313,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,315,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,344,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,346,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,351,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,353,NA,NA,NA,NA,NA,2.3,NA
NA,NA,NA,NA,NA,NA,354,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,355,NA,NA,NA,NA,NA,2.3,NA
NA,NA,NA,NA,NA,NA,356,NA,NA,NA,NA,NA,2.3,NA
NA,NA,NA,NA,NA,NA,357,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,358,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,359,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,360,NA,NA,NA,NA,NA,2.3,NA
NA,NA,NA,NA,NA,NA,362,NA,NA,NA,NA,NA,2.2,NA
NA,NA,NA,NA,NA,NA,363,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,365,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,366,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,367,NA,NA,NA,NA,NA,2.2,NA
NA,NA,NA,NA,NA,NA,368,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,369,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,370,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,371,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,372,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,373,NA,NA,NA,NA,NA,2.3,NA
NA,NA,NA,NA,NA,NA,374,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,375,NA,NA,NA,NA,NA,2.2,NA
NA,NA,NA,NA,NA,NA,376,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,377,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,379,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,380,NA,NA,NA,NA,NA,2.2,NA
NA,NA,NA,NA,NA,NA,382,NA,NA,NA,NA,NA,2.3,NA
NA,NA,NA,NA,NA,NA,383,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,384,NA,NA,NA,NA,NA,2.4,NA
NA,NA,NA,NA,NA,NA,385,NA,NA,NA,NA,NA,2.4,NA
NA,NA,NA,NA,NA,NA,386,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,387,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,388,NA,NA,NA,NA,NA,2.3,NA
NA,NA,NA,NA,NA,NA,389,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,390,NA,NA,NA,NA,NA,2.2,NA
NA,NA,NA,NA,NA,NA,391,NA,NA,NA,NA,NA,2.2,NA
NA,NA,NA,NA,NA,NA,392,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,393,NA,NA,NA,NA,NA,2.2,NA
NA,NA,NA,NA,NA,NA,394,NA,NA,NA,NA,NA,2.2,NA
NA,NA,NA,NA,NA,NA,395,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,396,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,397,NA,NA,NA,NA,NA,1.9,NA
NA,NA,NA,NA,NA,NA,398,NA,NA,NA,NA,NA,2.2,NA
NA,NA,NA,NA,NA,NA,399,NA,NA,NA,NA,NA,2.1,NA
NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,2.2,NA
